id,ext_path,geo
140781,"山西省 晋中市 介休市","111.913857 37.027616"
1408,"山西省 运城市","111.003957 35.022778"
140802,"山西省 运城市 盐湖区","111.000627 35.025643"
140821,"山西省 运城市 临猗县","110.77493 35.141883"
140822,"山西省 运城市 万荣县","110.843561 35.417042"
140823,"山西省 运城市 闻喜县","111.220306 35.353839"
140824,"山西省 运城市 稷山县","110.978996 35.600412"
140825,"山西省 运城市 新绛县","111.225205 35.613697"
140826,"山西省 运城市 绛县","111.576182 35.49045"
140827,"山西省 运城市 垣曲县","111.67099 35.298293"
140828,"山西省 运城市 夏县","111.223174 35.140441"
140829,"山西省 运城市 平陆县","111.212377 34.837256"
140830,"山西省 运城市 芮城县","110.69114 34.694769"
140881,"山西省 运城市 永济市","110.447984 34.865125"
140882,"山西省 运城市 河津市","110.710268 35.59715"
1409,"山西省 忻州市","112.733538 38.41769"
140902,"山西省 忻州市 忻府区","112.734112 38.417743"
140921,"山西省 忻州市 定襄县","112.963231 38.484948"
140922,"山西省 忻州市 五台县","113.259012 38.725711"
140923,"山西省 忻州市 代县","112.962519 39.065138"
140924,"山西省 忻州市 繁峙县","113.267707 39.188104"
140925,"山西省 忻州市 宁武县","112.307936 39.001718"
140926,"山西省 忻州市 静乐县","111.940231 38.355947"
140927,"山西省 忻州市 神池县","112.200438 39.088467"
140928,"山西省 忻州市 五寨县","111.841015 38.912761"
140929,"山西省 忻州市 岢岚县","111.56981 38.705625"
140930,"山西省 忻州市 河曲县","111.146609 39.381895"
140931,"山西省 忻州市 保德县","111.085688 39.022576"
140932,"山西省 忻州市 偏关县","111.500477 39.442153"
140971,"山西省 忻州市 五台山风景名胜区","EMPTY"
140981,"山西省 忻州市 原平市","112.713132 38.729186"
1410,"山西省 临汾市","111.517973 36.08415"
141002,"山西省 临汾市 尧都区","111.522945 36.080366"
141021,"山西省 临汾市 曲沃县","111.475529 35.641387"
141022,"山西省 临汾市 翼城县","111.713508 35.738621"
141023,"山西省 临汾市 襄汾县","111.442932 35.876139"
141024,"山西省 临汾市 洪洞县","111.673692 36.255742"
141025,"山西省 临汾市 古县","111.920207 36.26855"
141026,"山西省 临汾市 安泽县","112.251372 36.146032"
141027,"山西省 临汾市 浮山县","111.850039 35.971359"
141028,"山西省 临汾市 吉县","110.682853 36.099355"
141029,"山西省 临汾市 乡宁县","110.857365 35.975402"
141030,"山西省 临汾市 大宁县","110.751283 36.46383"
141031,"山西省 临汾市 隰县","110.935809 36.692675"
141032,"山西省 临汾市 永和县","110.631276 36.760614"
141033,"山西省 临汾市 蒲县","111.09733 36.411682"
141034,"山西省 临汾市 汾西县","111.563021 36.653368"
141081,"山西省 临汾市 侯马市","111.371272 35.620302"
141082,"山西省 临汾市 霍州市","111.723103 36.57202"
1411,"山西省 吕梁市","111.134335 37.524366"
141102,"山西省 吕梁市 离石区","111.134462 37.524037"
141121,"山西省 吕梁市 文水县","112.032595 37.436314"
141122,"山西省 吕梁市 交城县","112.159154 37.555155"
141123,"山西省 吕梁市 兴县","111.124816 38.464136"
141124,"山西省 吕梁市 临县","110.995963 37.960806"
141125,"山西省 吕梁市 柳林县","110.89613 37.431664"
141126,"山西省 吕梁市 石楼县","110.837119 36.999426"
141127,"山西省 吕梁市 岚县","111.671555 38.278654"
141128,"山西省 吕梁市 方山县","111.238885 37.892632"
141129,"山西省 吕梁市 中阳县","111.193319 37.342054"
141130,"山西省 吕梁市 交口县","111.183188 36.983068"
141181,"山西省 吕梁市 孝义市","111.781568 37.144474"
141182,"山西省 吕梁市 汾阳市","111.785273 37.267742"
15,"内蒙古自治区","111.670801 40.818311"
1501,"内蒙古自治区 呼和浩特市","111.670801 40.818311"
150102,"内蒙古自治区 呼和浩特市 新城区","111.685964 40.826225"
150103,"内蒙古自治区 呼和浩特市 回民区","111.662162 40.815149"
150104,"内蒙古自治区 呼和浩特市 玉泉区","111.66543 40.799421"
150105,"内蒙古自治区 呼和浩特市 赛罕区","111.698463 40.807834"
150121,"内蒙古自治区 呼和浩特市 土默特左旗","111.133615 40.720416"
150122,"内蒙古自治区 呼和浩特市 托克托县","111.197317 40.276729"
150123,"内蒙古自治区 呼和浩特市 和林格尔县","111.824143 40.380288"
150124,"内蒙古自治区 呼和浩特市 清水河县","111.67222 39.912479"
150125,"内蒙古自治区 呼和浩特市 武川县","111.456563 41.094483"
150171,"内蒙古自治区 呼和浩特市 呼和浩特金海工业园区","EMPTY"
150172,"内蒙古自治区 呼和浩特市 呼和浩特经济技术开发区","EMPTY"
1502,"内蒙古自治区 包头市","109.840405 40.658168"
150202,"内蒙古自治区 包头市 东河区","110.026895 40.587056"
150203,"内蒙古自治区 包头市 昆都仑区","109.822932 40.661345"
150204,"内蒙古自治区 包头市 青山区","109.880049 40.668558"
150205,"内蒙古自治区 包头市 石拐区","110.272565 40.672094"
150206,"内蒙古自治区 包头市 白云鄂博矿区","109.97016 41.769246"
150207,"内蒙古自治区 包头市 九原区","109.968122 40.600581"
150221,"内蒙古自治区 包头市 土默特右旗","110.526766 40.566434"
150222,"内蒙古自治区 包头市 固阳县","110.063421 41.030004"
150223,"内蒙古自治区 包头市 达尔罕茂明安联合旗","110.438452 41.702836"
150271,"内蒙古自治区 包头市 包头稀土高新技术产业开发区","EMPTY"
1503,"内蒙古自治区 乌海市","106.825563 39.673734"
150302,"内蒙古自治区 乌海市 海勃湾区","106.817762 39.673527"
150303,"内蒙古自治区 乌海市 海南区","106.884789 39.44153"
150304,"内蒙古自治区 乌海市 乌达区","106.722711 39.502288"
1504,"内蒙古自治区 赤峰市","118.956806 42.275317"
150402,"内蒙古自治区 赤峰市 红山区","118.961087 42.269732"
150403,"内蒙古自治区 赤峰市 元宝山区","119.289877 42.041168"
150404,"内蒙古自治区 赤峰市 松山区","118.938958 42.281046"
150421,"内蒙古自治区 赤峰市 阿鲁科尔沁旗","120.094969 43.87877"
150422,"内蒙古自治区 赤峰市 巴林左旗","119.391737 43.980715"
150423,"内蒙古自治区 赤峰市 巴林右旗","118.678347 43.528963"
150424,"内蒙古自治区 赤峰市 林西县","118.05775 43.605326"
150425,"内蒙古自治区 赤峰市 克什克腾旗","117.542465 43.256233"
150426,"内蒙古自治区 赤峰市 翁牛特旗","119.022619 42.937128"
150428,"内蒙古自治区 赤峰市 喀喇沁旗","118.708572 41.92778"
150429,"内蒙古自治区 赤峰市 宁城县","119.339242 41.598692"
150430,"内蒙古自治区 赤峰市 敖汉旗","119.906486 42.287012"
1505,"内蒙古自治区 通辽市","122.263119 43.617429"
150502,"内蒙古自治区 通辽市 科尔沁区","122.264042 43.617422"
150521,"内蒙古自治区 通辽市 科尔沁左翼中旗","123.313873 44.127166"
150522,"内蒙古自治区 通辽市 科尔沁左翼后旗","122.355155 42.954564"
150523,"内蒙古自治区 通辽市 开鲁县","121.308797 43.602432"
150524,"内蒙古自治区 通辽市 库伦旗","121.774886 42.734692"
150525,"内蒙古自治区 通辽市 奈曼旗","120.662543 42.84685"
150526,"内蒙古自治区 通辽市 扎鲁特旗","120.905275 44.555294"
150571,"内蒙古自治区 通辽市 通辽经济技术开发区","EMPTY"
150581,"内蒙古自治区 通辽市 霍林郭勒市","119.657862 45.532361"
1506,"内蒙古自治区 鄂尔多斯市","109.99029 39.817179"
150602,"内蒙古自治区 鄂尔多斯市 东胜区","109.98945 39.81788"
150603,"内蒙古自治区 鄂尔多斯市 康巴什区","109.790076 39.607472"
150621,"内蒙古自治区 鄂尔多斯市 达拉特旗","110.040281 40.404076"
150622,"内蒙古自治区 鄂尔多斯市 准格尔旗","111.238332 39.865221"
150623,"内蒙古自治区 鄂尔多斯市 鄂托克前旗","107.48172 38.183257"
150624,"内蒙古自治区 鄂尔多斯市 鄂托克旗","107.982604 39.095752"
150625,"内蒙古自治区 鄂尔多斯市 杭锦旗","108.736324 39.831789"
150626,"内蒙古自治区 鄂尔多斯市 乌审旗","108.842454 38.596611"
150627,"内蒙古自治区 鄂尔多斯市 伊金霍洛旗","109.787402 39.604312"
1507,"内蒙古自治区 呼伦贝尔市","119.758168 49.215333"
150702,"内蒙古自治区 呼伦贝尔市 海拉尔区","119.764923 49.213889"
150703,"内蒙古自治区 呼伦贝尔市 扎赉诺尔区","117.716373 49.456567"
150721,"内蒙古自治区 呼伦贝尔市 阿荣旗","123.464615 48.130503"
150722,"内蒙古自治区 呼伦贝尔市 莫力达瓦达斡尔族自治旗","124.507401 48.478385"
150723,"内蒙古自治区 呼伦贝尔市 鄂伦春自治旗","123.725684 50.590177"
150724,"内蒙古自治区 呼伦贝尔市 鄂温克族自治旗","119.754041 49.143293"
150725,"内蒙古自治区 呼伦贝尔市 陈巴尔虎旗","119.437609 49.328422"
150726,"内蒙古自治区 呼伦贝尔市 新巴尔虎左旗","118.267454 48.216571"
150727,"内蒙古自治区 呼伦贝尔市 新巴尔虎右旗","116.825991 48.669134"
150781,"内蒙古自治区 呼伦贝尔市 满洲里市","117.455561 49.590788"
150782,"内蒙古自治区 呼伦贝尔市 牙克石市","120.729005 49.287024"
150783,"内蒙古自治区 呼伦贝尔市 扎兰屯市","122.744401 48.007412"
150784,"内蒙古自治区 呼伦贝尔市 额尔古纳市","120.178636 50.2439"
150785,"内蒙古自治区 呼伦贝尔市 根河市","121.532724 50.780454"
1508,"内蒙古自治区 巴彦淖尔市","107.416959 40.757402"
150802,"内蒙古自治区 巴彦淖尔市 临河区","107.417018 40.757092"
150821,"内蒙古自治区 巴彦淖尔市 五原县","108.270658 41.097639"
150822,"内蒙古自治区 巴彦淖尔市 磴口县","107.006056 40.330479"
150823,"内蒙古自治区 巴彦淖尔市 乌拉特前旗","108.656816 40.725209"
150824,"内蒙古自治区 巴彦淖尔市 乌拉特中旗","108.515255 41.57254"
